,PDF名字,解析结果
115,"01225-隆成金融-月報表股份發行人的證券變動月報表(截至二零一八年九月三十日) (614KB, PDF).pdf",无
116,"01226-中國投融資-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (503KB, PDF).pdf",无
117,"01229-南南資源-月報表截至2018年9月30日止月份之股份發行人的證券變動月報表 (482KB, PDF).pdf",无
118,"01236-國農控股-月報表股份發行人的證券變動月報表 (509KB, PDF).pdf",解析失败请手动查看PDF
119,"01245-NIRAKU-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (488KB, PDF).pdf",无
120,"01258-中國有色礦業-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (477KB, PDF).pdf",无
121,"01259-中國兒童護理-月報表截至2018年9月30日止月份之股份發行人之證券變動月報表 (497KB, PDF).pdf",无
122,"01265-天津津燃公用-月報表股份發行人的證券變動月報表 (547KB, PDF).pdf",无
123,"01272-大唐環境-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (508KB, PDF).pdf",无
124,"01280-匯銀智慧社區-月報表股份發行人的證券變動月報表 ( 截至2018年9月30日 ) (475KB, PDF).pdf",无
125,"01299-友邦保險-月報表截至2018年9月30日止月份之股份發行人的證券變動月報表 (481KB, PDF).pdf",有数据请查看
126,"01316-耐世特-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (435KB, PDF).pdf",有数据请查看
127,"01319-靄華押業信貸-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (156KB, PDF).pdf",无
128,"01330-綠色動力環保-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (144KB, PDF).pdf",无
129,"01335-順泰控股-月報表月報表 - 截至二零一八年九月三十日止股份發行人的證券變動月報表 (540KB, PDF).pdf",无
130,"01339-中國人民保險集團-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (300KB, PDF).pdf",解析失败请手动查看PDF
131,"01365-潤東汽車-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (130KB, PDF).pdf",无
132,"01371-華彩控股-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (118KB, PDF).pdf",无
133,"01375-中州證券-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (515KB, PDF).pdf",无
134,"01415-高偉電子-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (506KB, PDF).pdf",无
135,"01420-川控股-月報表截至2018年9月30日止月份之股份發行人的證券變動月報表 (439KB, PDF).pdf",无
136,"01428-耀才證券金融-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (190KB, PDF).pdf",无
137,"01443-富臨集團控股-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (442KB, PDF).pdf",无
138,"01450-世紀睿科-月報表截至2018年9月30日之股份發行人的證券變動月報表 (282KB, PDF).pdf",无
139,"01452-迪諾斯環保-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (463KB, PDF).pdf",无
140,"01460-揚科集團-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (545KB, PDF).pdf",无
141,"01526-瑞慈醫療-月報表截至2018年9月30日止月份股份發行人的證券變動月報表 (579KB, PDF).pdf",无
142,"01530-三生製藥-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (559KB, PDF).pdf",无
143,"01543-中盈盛達融資擔保-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (566KB, PDF).pdf",无
144,"01551-廣州農商銀行-月報表截至2018年9月30日止月份之股份發行人的證券變動月報表 (512KB, PDF).pdf",无
145,"01565-成實外教育-月報表股份發行人的證券變動月報表 (485KB, PDF).pdf",无
146,"01566-華夏動漫-月報表截止二零一八年九月三十日止月份之股份發行人的證券變動月報表 (308KB, PDF).pdf",无
147,"01579-頤海國際-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (495KB, PDF).pdf",无
148,"01589-中國物流資產-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (180KB, PDF).pdf",有数据请查看
149,"01592-基石控股-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (483KB, PDF).pdf",无
150,"01598-２１世紀教育-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (386KB, PDF).pdf",无
151,"01600-天倫燃氣-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (390KB, PDF).pdf",解析失败请手动查看PDF
152,"01616-星宏傳媒-月報表截至2018年9月30日止股份發行人的證券變動月報表 (148KB, PDF).pdf",无
153,"01619-天合化工-月報表2018年9月月報表 (485KB, PDF).pdf",无
154,"01620-加達控股-月報表股份發行人的證券變動月報表 (543KB, PDF).pdf",无
155,"01649-內蒙古能建-月報表截至二零一八年九月三十日止月份股份發行人的證券變動月報表 (584KB, PDF).pdf",无
156,"01652-福森藥業-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (622KB, PDF).pdf",无
157,"01666-同仁堂科技-月報表月報表截至二零一八年九月三十日 (562KB, PDF).pdf",解析失败请手动查看PDF
158,"01697-山東國信-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (568KB, PDF).pdf",解析失败请手动查看PDF
159,"01700-華地國際控股-月報表截至二零一八年九月三十日股份發行人的證券變動月報表 (543KB, PDF).pdf",无
160,"01708-三寶科技-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (504KB, PDF).pdf",无
